Farmland_L	Farmland_M	Farmland_H	Forest_L	Forest_M	Forest_H	Grassland_L	Grassland_M	Grassland_H	Wetland_L	Wetland_M	Wetland_H
		0.73011448									
		0.76534457									
		0.74327907									
		0.73308847									
		0.75124605									
		0.71017231									
		0.69845437									
		0.73295284									
		0.71183123									
		0.72558198									
		0.67544702									
		0.67663118									
		0.80133017									
		0.73888616									
		0.73253594									
		0.7207323									
		0.64610668									
		0.77502516									
		0.69287639									
		0.77775215									
		0.72924327									
		0.72711676									
		0.69303336									
		0.69050594									
		0.62878477									
		0.62181655									
		0.70743042									
		0.67646655									
		0.65269541									
		0.3955376									
		0.45582346									
		0.68248071									
		0.65903431									
		0.67147628									
		0.78002482									
		0.63214984									
		0.65427956									
		0.68443329									
		0.54183101									
		0.71738358									
		0.64418327									
		0.66877129									
		0.66021541									
		0.6688076									
		0.71178485									
		0.71516233									
		0.57964471									
		0.7971415									
		0.68239864									
		0.79532205									
		0.82404063									
		0.84941257									
		0.80194869									
		0.79207596									
		0.775619									
		0.79050408									
		0.80213387									
		0.76723392									
		0.78984625									
		0.85180862									
		0.80446858									
		0.79415486									
		0.77832722									
		0.79263138									
		0.80492313									
		0.79192326									
		0.84530714									
		0.79615443									
		0.81160576									
		0.78608713									
		0.77176678									
		0.78454458									
		0.79755677									
		0.78400677									
		0.85048994									
		0.80361021									
		0.79284046									
		0.77787485									
		0.79084096									
		0.74315265									
		0.80357329									
		0.79063603									
		0.83292041									
		0.77621543									
		0.81938026									
		0.75134783									
		0.79962408									
		0.86346646									
		0.78251519									
		0.83563686									
		0.79042961									
		0.77897869									
		0.82057311									
		0.75347987									
		0.80166941									
		0.7820436									
		0.78553625									
		0.82833266									
		0.89150128									
		0.8770668									
		0.90430286									
		0.88580894									
		0.93701021									
		0.88354991									
		0.89235324									
		0.91530436									
		0.93205351									
		0.90375693									
		0.91347612									
		0.89954959									
		0.88791298									
		0.91492									
		0.90149407									
		0.9121716									
		0.90407635									
		0.93062766									
		0.90554553									
		0.91286705									
		0.89554151									
		0.90349652									
		0.91557019									
		0.91167575									
		0.92857426									
		0.70788089									
		0.61149951									
		0.68829543									
		0.64094454									
		0.73065373									
		0.70343903									
		0.6776366									
		0.84807334									
		0.70190592									
		0.70468004									
		0.85810828									
		0.87056385									
		0.82446736									
		0.91846848									
		0.79062153									
		0.81197804									
		0.80879684									
		0.8399428									
		0.79661433									
		0.59625791									
		0.87355909									
		0.90473104									
		0.8530508									
		0.84776816									
		0.90015851									
		0.88267176									
		0.88597803									
		0.8718091									
		0.80788931									
		0.80724172									
		0.79068702									
		0.83887198									
		0.87968277									
		0.88015786									
		0.89218304									
		0.88286473									
		0.89023345									
		0.88256334									
		0.91997354									
		0.9684225									
		0.93800372									
		0.94035642									
		0.8758187									
		0.92508677									
		0.9133836									
		0.91656363									
		0.90844896									
		0.90803524									
		0.93638092									
		0.9805989									
		0.8940027									
		0.86795711									
		0.90430234									
		0.68708356									
		0.69692997									
		0.80356952									
		0.67181988									
		0.66617249									
		0.73822646									
		0.72207747									
		0.71300859									
		0.87218085									
		0.92223446									
		0.87024595									
		0.85816264									
		0.90362586									
		0.89571756									
